screen_name,created_at_month,created_at_day,created_at_year,country,location,friends_count,followers_count,statuses_count,favourites_count,favourited_count,dob_day,dob_year,dob_month,gender,mobile_favourites_count,mobile_favourited_count,education,experience,age,race,wage,retweeted_count,retweet_count,height
rtVnuetee,7,27,2009,USA,Boulder CO,1456,479766,57790,490,15362,14,1918,12,male,0,0,11,8,47,asian,26.72,0,8,178
ehatjimsj,2,12,2008,Kenya,Nairobi Kenya,323462,468020,26723,75,4865,6,1990,8,female,0,0,12,23,56,white,12.10450277,0,1,158
ottkcTwsS,5,23,2008,Switzerland,Switzerland,112946,428239,47857,8896,6959,9,1986,10,male,0,0,12,0,20,native american,26.22,0,39,184
xnefafird,7,21,2008,USA,San Francisco CA,1945,425439,23342,2061,5380,1,1982,1,male,0,0,13,-1,44,latino,19.49,0,13,170
gmVlbrTBo,4,24,2009,USA,Las Vegas NV,443,421861,59542,101,5947,1,1988,1,female,0,0,10,6,39,white,29.36,0,7,160
DNQAAS,1,5,2009,India,India,3747,414632,13034,1864,4723,1,1994,1,male,0,0,14,13,36,white,16.56,0,28,177
sileoTtoq,9,1,2014,India,Bangalore,4274,394576,9868,61,372,14,1982,10,male,0,0,12,0,61,white,7,3,6,182
tTeTlLeln,2,17,2015,USA,NJ,5142,378474,1737,2718,61,3,1980,11,male,0,378474,15,0,57,white,33.9351243,2,185,171
eieltrats,4,24,2008,USA,East Coast,4036,373594,73495,39008,8774,1,1987,1,female,0,0,11,31,41,latino,26.51,1,3,164
amkpan,6,18,2008,USA,Sarasota Florida,753,338720,7270,1784,1075,9,1984,2,female,0,0,14,-5,36,hispanic,31.54,1,13,162
ithyrsgra,12,16,2007,USA,Nebraska,679,333195,10566,894,304,24,1991,5,female,0,0,13,0,33,white,19.34,0,2,168
ehnccnt,5,26,2009,USA,Virginia Beach VA,355,326089,6484,101,7992,14,1987,10,female,245180,0,9,0,41,white,10.87,2,28,165
sxiBnFuse,7,13,2009,USA,SF CA,230,324686,71019,19,4991,28,1992,2,female,0,0,8,14,27,white,13.48781293,0,39,163
hfSneJefa,4,18,2009,USA,Orlando Florida,297438,308989,73783,21155,6774,10,1995,4,male,0,0,16,-7,16,white,10.55,1,12,184
pcmara,5,10,2007,USA,Houston Texas,4864,299073,51446,142862,6131,14,1996,10,male,0,0,19,-11,39,asian,31.71,2,22,180
tSsYrooah,7,6,2007,Chile,Chile,2570,294855,89161,1028,4814,25,1995,7,male,0,0,11,0,30,white,32.19,0,12,173
CiriibaeD,6,27,2013,USA,Charlottesville VA,136060,264249,5899,1975,1250,1,1900,5,female,0,0,15,-2,48,white,19.24,0,1,156
tvTComeau,12,7,2010,USA,Maryland USA,205,263312,4586,36,2818,25,1959,4,male,0,0,11,47,41,white,9.5,0,5,174
ohamMoTas,3,10,2010,Singapore,Singapore,11056,260650,1845,32,190,1,1995,5,female,0,0,16,32,42,white,11.81,0,0,162
rwlahnooz,7,16,2007,USA,St. Louis,1481,247555,87704,6881,3776,16,1995,9,male,0,0,12,0,61,white,27.3,12,273,174
DSJW,4,1,2009,USA,Northern California,121,238050,26324,0,7048,8,1958,5,male,0,238050,15,0,51,white,18.46,5,69,178
lnTsat,4,28,2009,USA,Cleveland,12711,236636,4950,0,672,1,2000,1,male,0,0,8,18,24,white,28.21,1,40,181
mslestaei,4,10,2008,USA,Ohio,13149,234118,56636,684,5432,2,1988,5,female,0,0,9,5,28,white,32.58,1,6,172
soerbnnoc,4,5,2009,USA,New Orleans LA,198690,230683,733908,59857,2148,1,1920,1,male,0,0,15,0,51,white,64.63985047,33,451,168
theSTeret,6,30,2008,USA,Sacramento,1201,229921,97488,1953,3883,24,1982,11,female,0,0,9,27,28,asian,38.53,51,353,157
zamrASUir,2,18,2009,India,Dubai,5640,228368,19459,5633,359,10,1992,7,female,0,0,14,0,41,white,7.5,1,240,163
gCorRF,11,18,2008,USA,Palo Alto,12301,223334,26590,9,5922,6,1966,5,male,0,223334,12,15,50,white,6.5,1,4,171
cirlmzmea,3,5,2008,USA,Kansas City MO,627,221250,20231,7,5159,7,1989,3,male,0,0,9,0,32,pacific islander,12.57,1,6,169
knamav,4,17,2008,Ireland,Ireland,222177,220997,101651,15364,454,14,1988,10,male,0,0,10,32,35,white,51.24,1,37,182
mnozEoaCl,3,18,2012,USA,Mississippi,1257,210794,34062,1,88,29,1996,12,male,0,210794,14,29,25,white,18.34,0,0,195
lzeqlvszu,2,17,2009,USA,Houston Texas,461,210243,24723,2886,82,3,1992,4,male,0,0,9,8,45,asian,8.5,0,0,162
inAacltia,4,14,2009,USA,Massachusetts,1681,208607,155123,2518,927,29,1992,8,female,0,0,10,11,35,white,10.5,1,9,152
aioonthcs,5,3,2014,USA,Las Vegas NV,4523,207698,3208,74,152,20,1982,9,male,0,0,12,25,54,white,24.02,2,39,173
eptsRotei,2,5,2009,Kenya,Nairobi Kenya,1107,207603,69324,2759,6011,20,1995,12,male,0,0,11,0,0,white,27.78,0,5,165
27talW4Sl,11,25,2008,USA,NC,272,193623,43415,21,2824,13,1962,3,male,0,0,17,0,29,white,56.21790251,0,1,169
giautGeun,9,10,2012,USA,San Francisco,64,191361,13822,20,54,5,1971,11,female,0,0,15,21,42,white,11.13514854,0,0,158
enuaYrFca,7,26,2012,USA,Fremont CA,87542,184077,157778,36,873,30,1973,1,female,0,0,18,16,44,white,17.06,0,32,157
aretmsk,8,28,2009,USA,Austin,276,182346,9220,86,3262,12,1979,12,male,0,0,12,17,34,white,21.67,2,25,178
edSaWsJl,4,1,2009,USA,Stockton,60,167802,14922,5,3673,7,1958,1,male,0,0,10,0,47,white,14.93,3,39,180
matowtons,3,21,2008,Finland,Finland,13483,166938,45986,1821,3261,1,1988,1,male,0,0,16,19,23,white,30.6,1,14,170
ttnoeSifh,7,22,2010,USA,CA,104,165936,10767,752,324,28,1994,12,female,0,0,16,-19,25,white,27.22,1,13,160
afotfskod,9,1,2009,Canada,Montreal Canada,6417,165872,10085,468,1976,16,1978,11,male,0,0,16,54,25,white,13.42,0,3,170
ramoFrnds,10,4,2011,USA,St. Louis MO,9324,164856,12881,14377,75,1,1980,8,male,0,0,12,21,45,white,26.09,0,0,177
CiePrktoS,4,30,2009,England,London United Kingdom,139073,163667,94051,2207,786,21,1985,6,male,163667,0,12,0,46,white,18.54,0,2,176
hylkcatah,2,19,2009,India,New Delhi,16058,162424,179056,2693,556,1,1991,1,male,0,0,11,13,0,asian,35.5,1,8,175
hlibaMeGc,10,14,2012,Brazil,Brasil,140753,159543,20219,163,1334,7,1977,7,male,0,0,13,0,34,white,37.14,0,24,180
oJeWBeMaS,1,11,2009,USA,Dallas,230,156946,19785,1,2571,10,1977,9,male,0,0,17,0,23,white,14.49,0,4,175
huaydctsa,12,16,2008,Ireland,Dublin Ireland,21111,151492,18828,249,5118,22,1950,11,male,0,0,12,18,13,white,33.59,2,25,181
roneJeoMo,3,22,2007,USA,Washington,1561,144595,22127,1570,102,6,1998,7,male,0,0,11,0,20,white,22.24,1,5,175
aonvky,6,14,2010,USA,TEXAS,54964,141639,122801,1443,212,19,1981,7,female,0,0,14,-1,38,white,31.03,2,4,165
3l01r3,4,22,2009,USA,Montana,106238,141054,155237,196,1231,26,1980,9,female,0,0,12,0,33,white,11.87,3,27,159
PuDdetecr,4,28,2009,USA,CA,504,139683,2459,692,322,4,1967,6,male,0,0,11,0,30,white,19.61,1,7,185
rRrfeoerm,3,2,2009,USA,Boulder Colorado,3118,139305,87760,76317,3683,16,1988,5,female,0,0,12,0,14,white,9.5,0,9,164
TPNRZDEUz,4,10,2014,Luxembourg,Luxembourg,222,133964,8591,2264,44,11,1985,3,male,0,0,16,0,34,white,19.56,0,8,184
ksyicneer,5,12,2008,Spain,Barcelona,116,132455,15629,178,2828,25,1985,12,male,0,0,10,38,20,white,22.98,1,1,186
BamseeGta,2,8,2009,USA,Madison WI,731,130880,18879,52,1065,1,1995,1,male,0,0,9,0,31,white,14.78,0,1,190
mdloloywo,5,31,2007,England,London United Kingdom,775,130858,16172,886,6879,1,1995,1,female,98390,0,10,0,44,white,14.75,1,1,166
geBiwhevS,8,16,2012,USA,Las Vegas,31703,130637,164252,116091,411,2,1982,3,female,0,0,18,26,20,white,6.5,0,4,167
lmevDrlKp,1,21,2012,Mexico,Mexico,2431,130371,24465,4224,265,7,1961,8,female,0,98024,14,0,23,mixed,19.43,0,0,151
ortmopeah,3,20,2007,Australia,Sydney Australia,96475,127296,155350,53687,1932,19,1998,5,female,0,0,11,20,34,white,14.43,3,15,167
cevkiatso,7,9,2014,Colombia,Colombia,501,126468,769,836,17,7,1951,3,female,0,0,9,26,25,white,22.12,1,1,156
darennnta,9,24,2008,USA,Birmingham AL,107249,126403,10446,24,1023,23,1976,2,male,0,0,8,0,12,latino,45.1314398,0,1,177
BNyOMCadn,9,25,2008,USA,Indianapolis Indiana,186,126326,15362,318,1819,9,1976,3,male,0,0,13,26,29,asian,6.5,0,0,181
naeZoheNr,6,12,2011,USA,Virginia USA,592,124575,14908,143611,66,10,1975,6,male,0,0,13,0,52,white,12.55,0,0,171
aqlcauiir,2,16,2010,USA,Somewhere,2939,124200,1596,272,1824,9,1972,5,female,0,0,14,7,49,white,20.5,0,9,162
dsfiienao,2,27,2009,USA,Santa Monica CA,1367,120958,13544,155,1121,12,1987,11,female,0,0,13,26,32,asian,8.5,1,4,164
htwrlTate,3,7,2008,Italy,Milan,3710,120407,213261,30526,3705,25,1989,4,female,0,0,17,11,23,white,10.85,2,10,163
gSiBiheoc,2,7,2015,Earth,The World,13,118863,11,0,0,18,1993,12,male,0,118863,15,18,34,latino,9.5,0,0,174
ConCBwN,3,25,2009,USA,SF Bay Area,30,115264,17677,2,3710,2,1971,8,male,0,0,12,0,52,white,21.3,0,57,168
autertqeS,1,19,2010,USA,North Dakota,431,115143,21107,299,1253,20,1960,8,female,86574,0,17,26,41,white,30.5,5,103,172
eWtMngaSl,11,8,2011,USA,United States of America,1779,113721,531,5,14,8,1954,2,male,0,0,10,22,14,white,39.1969305,0,0,166
icehehmrt,12,6,2011,USA,North Carolina,940,111546,14614,1996,41,14,1991,1,male,0,0,11,0,28,white,31.27228019,1,1,170
JebNar,6,27,2011,USA,MA,231,110611,4210,365,55,6,1960,5,male,0,0,12,31,22,white,21.12445212,0,5,171
okrhiTHuo,8,26,2007,USA,Southern California,7728,110139,17666,9238,4803,18,1993,1,female,0,0,9,13,29,white,52.66,1,9,168
ssugKaDo,2,3,2009,Australia,Sydney Australia,2180,109558,30043,49,2342,11,1996,11,female,0,0,13,0,50,white,14.76267415,0,1,164
silmitpsr,9,9,2008,USA,Michigan,25177,109264,52383,1332,234,28,1978,4,male,0,0,11,27,42,white,11.9,0,0,173
haierBk5n,10,11,2012,USA,San Jose California,25654,108348,3031,10333,125,25,1980,7,male,0,0,16,2,25,persian,41.39,0,3,172
atonMNFsB,10,14,2008,USA,Bay Area,410,107378,32278,374,2051,13,1973,3,male,0,0,11,28,0,white,19.42,2,13,183
tlrabaMes,9,27,2009,USA,Manhattan,146,105655,2843,7,8,1,1988,1,female,0,79440,10,8,21,white,21.68,0,0,162
aAikam,1,27,2009,USA,Miami Florida,2767,104975,14370,1167,936,17,1943,9,female,0,0,14,19,31,white,13.29,1,39,152
uhgPrypSa,2,8,2010,India,hyderabad,11853,103882,7471,1749,30,1,2000,6,female,0,0,10,26,20,white,10.68,0,59,159
rDarasdru,2,2,2013,USA,Pennsylvania USA,127,102370,1534,71,39,5,1983,2,female,0,0,14,0,44,white,8,0,3,168
troemNCsC,3,22,2011,USA,Manhattan,65670,102297,91869,17653,602,10,1988,7,male,0,0,13,17,39,white,16.95,4,67,165
ttmhkyesy,12,17,2007,Earth,Everywhere,6475,101057,46228,1844,1708,20,1991,7,female,0,0,10,13,44,white,15.47,6,44,162
aarsaduch,4,30,2007,USA,New York New York,289,100869,25547,4880,4401,11,1996,6,male,0,0,15,0,13,white,51.15792105,1,1,183
dafbrdvai,5,6,2010,USA,St. Louis,274,100367,1991,5,1326,8,1955,1,female,0,0,16,0,34,white,6.5,0,8,161
arepWTh,1,7,2009,USA,Buffalo,15849,99243,81857,7467,3013,1,1964,11,male,0,0,14,0,39,white,5.5,0,0,159
BrnoeiDIv,2,19,2009,USA,Alexandria VA,208,98578,41391,17,2523,26,1991,3,female,0,0,13,0,30,white,10.66,0,23,160
soySlanto,11,5,2009,USA,Cleveland,3381,97574,179710,944,237,8,1978,11,female,0,0,16,0,30,white,30.2,1,10,160
enGrfraad,12,24,2009,USA,Pittsburgh PA,12447,96820,29635,1787,489,24,1987,6,female,0,0,12,25,40,white,12.67793496,0,6,161
eyatieejm,4,30,2009,Spain,Madrid,207,96057,29371,9659,815,21,1987,12,female,0,72224,13,16,48,white,16.27,0,5,163
PCloMoiGf,11,19,2011,USA,Columbus Ohio,2085,95499,9206,1,25,26,1979,8,male,0,0,13,22,27,white,7,0,1,174
NSLsPrevc,12,22,2010,India,Pune India,120,95219,22289,30,104,12,1988,6,male,0,0,11,8,37,white,27.82,0,0,181
ereporakr,8,26,2011,USA,Cleveland,1432,94322,5687,13,22,26,1992,9,female,0,0,13,25,23,asian,28.39,1,2,165
CNqCkBauS,11,3,2011,Italy,Italy,172,92095,11720,171,1384,4,1967,6,male,0,0,10,0,22,white,9.5,0,5,176
ztohrilt,6,22,2009,USA,Minnesota,1138,88625,56400,7882,2921,21,1949,10,female,0,0,11,18,62,white,11.11375569,0,33,164
srsedmamt,8,29,2010,Scotland,Scotland,69665,88235,6522,6634,220,12,1983,12,male,0,0,14,0,34,latino,10.29,3,85,181
neeetokm,3,21,2009,USA,Scottsdale Arizona,8205,88067,25404,287,2032,11,1976,7,female,0,0,13,4,34,white,13.53151514,1,2,166
HOALNENGO,3,10,2012,USA,san francisco,52361,87394,214648,118,67,15,1955,10,female,0,0,14,0,54,white,14.33,1,10,171
agyvigidt,3,28,2009,USA,Malaysia,4140,87324,5470,51,3976,5,1967,6,male,0,0,10,18,25,white,26.05,0,7,169
konKpiott,9,7,2009,Argentina,Buenos Aires,3593,86641,6641,2202,61,22,1972,6,male,0,0,12,0,30,white,43.85,0,12,180
aewhmti,3,9,2007,USA,nyc,3670,85706,140892,39161,4893,2,1999,10,female,0,0,9,23,41,white,30.01,0,12,164
siuinlqpl,10,15,2009,USA,San Diego,11608,85200,9042,448,459,20,1988,1,male,0,0,17,8,38,white,5.5,1,5,177
ioeotctsn,1,20,2009,USA,Stockton,100,84852,61892,180,1312,12,1985,9,female,0,0,12,0,50,white,36.02,0,0,157
euktscnab,8,21,2009,Russia,Moscow,3922,84154,2300,892,487,6,1985,9,female,0,0,9,8,37,white,27.71,0,5,167
nnlzbauif,12,15,2010,USA,New York City NY,70,84091,26368,336,69,1,1990,1,male,0,0,12,11,48,white,19.48,2,4,175
anbaeaybc,2,4,2009,USA,Charlotte NC,2218,83908,118867,1031,2251,2,1997,8,male,0,83908,12,32,37,white,11.57,0,7,176
orctveeIr,3,29,2015,USA,New Mexico,12112,83489,1461,0,55,1,1994,1,male,0,0,16,-1,29,white,12.55,1,22,169
eiacanlyf,2,4,2009,USA,Minneapolis MN,8690,83320,49859,85,2037,23,1997,7,female,0,0,10,0,47,white,35.67,0,31,167
odKopa,6,21,2009,USA,Texas,157,82890,1915,528,1,13,1958,12,female,0,0,13,16,36,white,21.89,1,127,159
torxsiofo,10,2,2012,USA,Portland Oregon,6564,82258,10494,89,33,1,1990,1,male,0,0,13,0,53,white,16.07,0,0,172
morrodnt,10,4,2010,USA,Illinois,67305,81383,10974,20609,1572,1,2000,6,male,0,0,12,0,52,white,25.67,1,3,167
urkcsbJtb,7,24,2009,USA,Arizona,5572,81103,9972,2819,1230,19,1994,9,male,0,0,11,1,40,pacific islander,30.03,1,33,184
cACponIro,9,15,2014,Canada,Montreal Canada,58399,81063,2594,115,150,1,1962,1,male,0,81063,16,0,23,white,30.10752566,0,0,183
sblsryotl,12,28,2008,USA,Wyoming,56,80500,36312,65,386,22,1939,9,female,0,0,11,0,20,latino,28.06,0,0,168
AUSims,3,17,2009,USA,Atlanta,506,80311,4217,1668,441,1,1979,1,male,0,0,15,21,15,latino,21.79,1,6,178
uymdiGAa,5,11,2009,USA,Atlanta GA,412,78031,28878,170,1189,1,1995,2,female,0,0,6,0,36,white,7.5,1,1,158
oBsontnI,10,20,2008,USA,california,4910,77766,76080,17189,2029,1,1972,1,female,0,0,8,27,31,white,5,0,0,161
teapnjiea,4,3,2008,Netherlands,The Netherlands,755,77322,31388,1604,1452,1,1988,1,male,0,0,7,36,34,white,15.02,2,5,176
WaAiJSs,4,1,2009,Kenya,Nairobi Kenya,590,77112,82559,103,2569,16,1959,7,female,0,0,15,20,35,asian,10.28,0,0,164
nsraioanj,2,12,2009,Finland,Helsinki Finland,308,77042,136695,104,74,6,1992,11,male,0,77042,18,14,63,latino,29.19,1,29,177
rblaMeknt,9,28,2010,USA,Santa Monica CA,77290,75475,10760,2177,319,13,1970,2,male,0,0,13,0,42,white,19.18,0,1,173
ihrhittCC,8,2,2012,Australia,Melbourne Australia,61914,75010,122467,71868,801,18,1984,2,male,75010,0,13,13,18,white,7,2,9,174
HoPfisBfz,3,27,2009,USA,Florida,1403,74615,59670,446,2415,12,1968,9,male,0,0,10,27,25,asian,12.84,1,1,162
HunxFtoos,10,31,2008,USA,Minneapolis,5329,74479,139025,13246,1124,16,1970,4,male,0,0,15,0,48,white,20.2,2,139,173
eAhgeplnS,3,6,2009,Earth,worldwide,32,73913,312224,15,2548,29,1986,5,male,0,0,11,0,52,white,31.93,0,419,172
agtSeae,5,13,2008,USA,Wisconsin,3754,73647,17915,9651,1218,10,1986,1,male,0,0,9,0,18,white,32.76,1,5,172
ftsupjiti,4,28,2009,USA,MA,268,73495,16148,308,42,27,1965,8,female,0,0,10,23,46,asian,12.45,1,135,162
eiaybnc,2,3,2008,India,Pune,1263,73488,12250,2189,766,1,1990,4,male,0,0,14,0,22,white,14.75,0,15,184
aerndltas,6,26,2008,USA,San Diego,131,73357,19227,1531,1817,2,1984,7,female,0,0,16,19,13,white,8.5,1,21,162
esbsniuoe,1,14,2009,USA,Wisconsin,419,72791,98705,19,1268,4,1981,6,male,0,0,15,0,27,white,33.08,1,1,179
hnoomre,11,28,2008,USA,Newport Beach CA,2052,71996,179636,200710,2964,13,1961,2,female,0,0,10,25,35,white,22.41,1,129,164
bbrrhgreg,4,1,2008,USA,Alexandria VA,631,71249,22098,1620,1755,1,1988,1,male,0,0,15,0,32,white,33.52,0,4,177
allaeydns,7,18,2008,Earth,Worldwide,2426,71230,3960,50,564,25,1981,12,male,0,0,11,-7,25,white,11.48,1,16,181
htsgnddie,1,27,2009,USA,Columbus OH,999,71228,16223,1601,275,4,1959,9,male,0,0,13,2,38,white,25.95,0,0,170
kFatWMter,3,4,2009,United Kingdom,UK,6896,70492,27875,31,2252,8,1987,8,male,0,0,15,21,29,white,25.6,0,9,170
thereettr,9,12,2008,USA,Madison WI,69687,70407,25941,20057,966,1,1978,7,male,0,0,12,23,56,white,20.58,1,6,179
tmrereeat,6,3,2009,USA,Boulder Colorado,1594,70362,35545,119,2110,16,1981,5,female,0,0,14,12,61,white,6.5,4,47,160
frideani,9,3,2008,England,London,2493,68758,32616,7985,3204,22,1979,9,male,0,0,6,0,48,hispanic,20.12,2,4,173
oIersLniv,8,24,2008,USA,Alabama,102,68488,96502,1135,1403,15,1980,7,female,0,0,15,12,56,latino,27.98,0,20,161
eeBuTlbbh,6,20,2011,USA,Miami FL,54225,68488,63216,75174,1361,30,1966,11,male,0,0,15,0,38,white,8,0,0,182
onsoeirla,2,9,2009,USA,Wisconsin,399,68288,4161,76,2307,14,1995,3,male,0,0,6,25,42,white,31.08,1,32,179
BsctatdoB,10,17,2013,USA,New Jersey USA,14373,67505,26555,1786,279,6,1959,5,female,50756,0,12,22,28,white,17.95,0,1,159
eanvhCero,2,27,2009,USA,Rhode Island,19074,66667,33366,335,1237,1,1989,7,female,0,0,12,0,42,asian,17.71,2,74,157
faAlsVara,3,2,2011,USA,Oakland,550,66301,216960,12,3849,29,1966,5,male,0,0,8,43,32,white,16.51,0,3,167
adiogesTU,3,14,2008,Scotland,Scotland,6176,65977,34089,1897,2147,2,1989,10,male,0,65977,13,32,17,white,31.1,1,3,185
BBslCollg,2,24,2009,USA,Columbus OH,44,64145,12259,1222,1109,11,1990,4,female,48230,0,16,22,18,white,5.5,4,16,166
ehoAtiImB,1,15,2009,Canada,Montreal,6143,63994,15771,144,1305,29,1996,12,male,0,0,10,27,48,indian,28.32,0,3,181
lnaavfiia,10,9,2009,USA,Louisiana,50095,63475,3595,7,664,2,1997,10,male,0,0,9,0,42,white,7.5,1,1,176
RNCNP,9,3,2009,USA,Ohio,649,63421,20642,567,1747,12,1976,8,male,0,0,6,2,45,white,25.69,1,25,170
traAeedrT,3,8,2010,Kuwait,Kuwait,47612,63268,612406,786,843,12,1990,2,female,0,0,12,6,37,white,15.48,68,368,164
erveLoixF,1,23,2009,USA,SoCal,430,63150,156115,48,1935,18,1999,6,male,0,0,16,33,42,white,41.61545175,0,3,182
tCirhzoBl,3,10,2009,USA,San Francisco Bay Area,50617,62707,13914,23112,959,10,1984,4,male,0,0,15,17,46,white,27.72,0,4,168
neonrimia,1,31,2011,USA,Nevada,1618,62537,3881,64,4,17,1993,4,female,0,0,9,19,55,pacific islander,40.85,0,0,163
eroTo,3,9,2009,Earth,Global,372,62448,13847,281,681,17,1984,1,male,0,0,13,0,39,white,20.74,3,10,182
sirCGapan,8,25,2009,Netherlands,The Netherlands,992,62339,20126,2794,1420,1,1983,7,female,0,0,12,-8,45,white,31.72,0,5,157
sorlmwake,1,16,2012,Ireland,Dublin,962,62224,83,0,11,25,1977,6,female,0,0,11,1,21,white,29.13,0,0,168
ercatstdo,8,26,2008,Canada,Toronto,5852,62044,14885,24,715,21,1980,9,male,0,0,14,11,42,white,27.38,0,4,181
VB,12,17,2010,USA,Las Vegas Nevada,494,60973,32971,7310,1970,2,1940,3,male,0,0,11,22,73,white,26.53,0,3,181
oabrrlrnt,7,18,2008,India,Pune,333,60542,12144,102,2085,13,1982,1,female,0,0,14,7,23,white,5.5,0,6,160
igiogtspn,8,16,2014,USA,Portland,264,60259,117407,148,1023,17,1954,11,female,0,0,15,36,19,white,15,2,4,156
laaiorpna,12,31,2011,USA,San Diego CA,41380,60207,50752,14393,372,1,1995,1,male,0,0,12,0,52,white,21.68,1,15,179
SeecekWtr,5,20,2009,USA,Arizona,2383,60122,12768,13,1623,31,1989,1,male,0,0,12,30,29,latino,6.5,0,3,174
gsmtlarta,7,27,2008,USA,St. Louis MO,432,60094,59069,209,1374,28,1982,9,male,60094,0,10,21,0,white,9.5,0,1,172
tntuiI,3,13,2007,European Union,Europe,39775,59740,18501,2322,1949,2,1998,2,male,0,0,13,0,47,white,12.25,0,1,185
kcemo,11,30,2007,USA,Rock Creek OR,1409,58438,137189,501,486,21,1991,1,male,0,0,11,25,43,white,32.56,0,23,176
4ohc5c,1,12,2010,Kenya,Nairobi Kenya,41268,58061,48695,580,24,17,1972,5,male,0,0,15,43,45,white,35.87,0,0,182
azayuGP,5,23,2013,Germany,Berlin,3263,57872,58502,76,36,17,1977,6,female,0,0,9,1,33,white,25.19,0,2,165
DeaiCcMrn,12,22,2008,USA,Virginia Beach VA,53124,57472,17623,105,268,7,1946,3,male,57472,0,11,0,13,asian,17.36,0,3,177
aEDdel,4,28,2007,USA,Indiana,191,57316,30566,228,2406,13,1996,6,male,0,0,10,0,31,white,34.44,1,25,185
